Epoch 365, Loss: 795040.9107142857
Epoch 366, Loss: 791467.1205357143
Epoch 367, Loss: 791797.5446428572
Epoch 368, Loss: 793049.7321428572
Epoch 369, Loss: 796764.5223214285
Epoch 370, Loss: 795959.7991071428
Epoch 371, Loss: 790173.2544642857
Epoch 372, Loss: 790270.4598214285
Epoch 373, Loss: 791219.90625
Epoch 374, Loss: 793041.1607142857
Epoch 375, Loss: 792410.1919642857
Epoch 376, Loss: 789668.0669642857
Epoch 377, Loss: 788594.5848214285
Epoch 378, Loss: 790369.0669642857
Epoch 379, Loss: 792660.6205357143
Epoch 380, Loss: 792467.3883928572
Epoch 381, Loss: 788281.5535714285
Epoch 382, Loss: 786684.9955357143
Epoch 383, Loss: 787907.8883928572
Epoch 384, Loss: 789209.5267857143
Epoch 385, Loss: 787199.4553571428
Epoch 386, Loss: 787215.3928571428
Epoch 387, Loss: 789319.3392857143
Epoch 388, Loss: 793986.1428571428
Epoch 389, Loss: 787935.5446428572
Epoch 390, Loss: 791541.2946428572
Epoch 391, Loss: 785827.9732142857
Epoch 392, Loss: 784726.2589285715
Epoch 393, Loss: 783747.0089285715
Epoch 394, Loss: 783173.6160714285
Epoch 395, Loss: 782419.7857142857
Epoch 396, Loss: 782299.9196428572
Epoch 397, Loss: 784856.9151785715
Epoch 398, Loss: 787421.1875
Epoch 399, Loss: 793422.4107142857
Epoch 400, Loss: 782938.7008928572
Epoch 401, Loss: 782706.6517857143
Epoch 402, Loss: 780457.5133928572
Epoch 403, Loss: 780103.03125
Epoch 404, Loss: 779588.8214285715
Epoch 405, Loss: 778715.9955357143
Epoch 406, Loss: 778839.3571428572
Epoch 407, Loss: 778322.6294642857
Epoch 408, Loss: 777001.6383928572
Epoch 409, Loss: 777043.0446428572
Epoch 410, Loss: 793237.53125
Epoch 411, Loss: 780235.5848214285
Epoch 412, Loss: 779580.0535714285
Epoch 413, Loss: 777909.6026785715
Epoch 414, Loss: 779196.46875
Epoch 415, Loss: 776933.3616071428
Epoch 416, Loss: 775825.9732142857
Epoch 417, Loss: 777784.7142857143
Epoch 418, Loss: 781424.8705357143
Epoch 419, Loss: 776360.3035714285
Epoch 420, Loss: 773422.9776785715
Epoch 421, Loss: 774293.7098214285
Epoch 422, Loss: 773551.9598214285
Epoch 423, Loss: 773687.5223214285
Epoch 424, Loss: 773677.8660714285
Epoch 425, Loss: 775060.3839285715
Epoch 426, Loss: 776238.09375
Epoch 427, Loss: 773038.7589285715
Epoch 428, Loss: 769761.8616071428
Epoch 429, Loss: 769427.78125
Epoch 430, Loss: 770361.7857142857
Epoch 431, Loss: 774797.6830357143
Epoch 432, Loss: 778988.1428571428
Epoch 433, Loss: 769388.0892857143
Epoch 434, Loss: 771769.8214285715
Epoch 435, Loss: 769085.2098214285
Epoch 436, Loss: 769702.28125
